group,variable,mean_atrisk,mean_stay,raw_diff,cohens_d,abs_d,p_value,n_atrisk,n_stay
recognition_security,recognition,2.6,2.02,0.58,0.52,0.52,0.0,2000,8105
wellbeing_outcomes,eng_enthusiastic,2.34,1.9,0.44,0.512,0.512,0.0,2012,8132
stress_culture,priority_well_being,2.44,1.93,0.51,0.472,0.472,0.0,1990,8071
wellbeing_outcomes,eng_energy,2.51,2.15,0.36,0.456,0.456,0.0,2011,8131
stress_culture,fair_treatment,1.92,1.56,0.36,0.431,0.431,0.0,1999,8107
stress_culture,work_welldone,2.11,1.77,0.34,0.424,0.424,0.0,2008,8119
stress_culture,useful_work,1.9,1.58,0.32,0.404,0.404,0.0,2009,8123
wellbeing_outcomes,exhaust_emot,3.32,3.73,-0.41,-0.386,0.386,0.0,2010,8128
recognition_security,er_balance,2.86,2.36,0.5,0.378,0.378,0.0,2001,8099
wellbeing_outcomes,wellbeing,63.08,70.35,-7.27,-0.373,0.373,0.0,2014,8137
autonomy_support,support_manager,2.46,2.05,0.4,0.351,0.351,0.0,1991,7992
wellbeing_outcomes,exhaust_phys,2.88,3.23,-0.35,-0.32,0.32,0.0,2014,8138
stress_culture,stress,2.9,3.22,-0.32,-0.298,0.298,0.0,2011,8133
autonomy_support,apply_ideas,2.62,2.29,0.33,0.296,0.296,0.0,2009,8095
stress_culture,lonely,3.82,4.11,-0.29,-0.285,0.285,0.0,2006,8119
work_life_balance,work_life_balance,1.91,1.7,0.21,0.285,0.285,0.0,2010,8128
work_demands,highspeed,3.84,4.36,-0.52,-0.27,0.27,0.0,2009,8115
autonomy_support,enough_time,2.32,2.11,0.21,0.211,0.211,0.0,2008,8116
autonomy_support,take_break,2.79,2.53,0.25,0.177,0.177,0.0,2012,8121
autonomy_support,autonomy_speed,2.68,2.47,0.21,0.174,0.174,0.0,2008,8106
work_demands,usual_hours,33.41,35.34,-1.93,-0.166,0.166,0.0,1986,8077
work_demands,tightdead,4.07,4.39,-0.32,-0.163,0.163,0.0,2013,8120
autonomy_support,autonomy_methods,2.63,2.45,0.18,0.145,0.145,0.0,2009,8123
work_life_balance,contact_out_wh,3.89,4.03,-0.13,-0.127,0.127,0.0,1997,8085
autonomy_support,autonomy_order,2.48,2.33,0.15,0.122,0.122,0.0,2011,8130
work_demands,weekend,-427.26,-475.66,48.4,0.109,0.109,0.0,2004,8078
recognition_security,easy_similarjob,-20.01,-8.05,-11.96,-0.106,0.106,0.0007,1958,7823
work_life_balance,wlb_concentrate,-12.13,-2.64,-9.49,-0.102,0.102,0.0016,1957,7960
work_demands,norest,1.76,1.8,-0.04,-0.088,0.088,0.0007,2006,8097
work_life_balance,wlb_tired,-7.81,-1.66,-6.15,-0.079,0.079,0.0115,2015,8132
recognition_security,losejob,-34.9,-21.96,-12.95,-0.078,0.078,0.0058,1962,8033
work_demands,night,-720.57,-746.47,25.91,0.078,0.078,0.0027,2009,8105
management_quality,boss_conf,-28.8,-20.37,-8.44,-0.055,0.055,0.0466,1989,7970
work_life_balance,wlb_timefamily,-24.09,-16.57,-7.51,-0.052,0.052,0.0583,2014,8130
management_quality,boss_respect,-5.87,-2.57,-3.3,-0.049,0.049,0.1098,1989,7970
management_quality,boss_explains,-6.27,-4.18,-2.1,-0.026,0.026,0.3499,1989,7970
autonomy_support,support_colleagues,-9.84,-12.33,2.49,0.022,0.022,0.3625,2009,8125
work_demands,longday,-550.18,-559.84,9.66,0.022,0.022,0.3728,1996,8054
recognition_security,prospects,-28.8,-32.14,3.34,0.018,0.018,0.4513,1987,8069
recognition_security,opp_impr_skills,-2.41,-1.42,-0.99,-0.017,0.017,0.5362,2010,8117
work_life_balance,wlb_worry,0.39,0.69,-0.3,-0.006,0.006,0.8227,2013,8135
management_quality,boss_feedback,-5.15,-4.83,-0.31,-0.004,0.004,0.8847,1989,7970
management_quality,boss_development,-7.26,-7.5,0.24,0.003,0.003,0.9202,1989,7970
management_quality,boss_cooperation,-13.76,-13.9,0.14,0.001,0.001,0.9658,1989,7970
