variable,type,total_impact_pp,marginal_log_odds,marginal_abs,p_value,total_rank,marginal_rank
JobRole,categorical,37.26,5.218,5.218,0.0,1,1
OverTime,categorical,20.09,1.711,1.711,0.0,2,4
TotalWorkingYears,numeric,17.11,-0.42,0.42,,3,12
JobLevel,numeric,16.91,0.124,0.124,,4,25
BusinessTravel,categorical,16.91,2.482,2.482,0.0,4,2
YearsInCurrentRole,numeric,16.05,-0.501,0.501,,6,10
MonthlyIncome,numeric,15.98,-0.198,0.198,,7,21
Age,numeric,15.92,-0.183,0.183,,8,22
YearsWithCurrManager,numeric,15.62,-0.522,0.522,,9,8
MaritalStatus,categorical,15.44,1.665,1.665,0.0,10,5
StockOptionLevel,numeric,13.71,-0.149,0.149,,11,23
YearsAtCompany,numeric,13.44,0.696,0.696,,12,6
JobInvolvement,numeric,13.0,-0.319,0.319,,13,16
EducationField,categorical,12.51,2.185,2.185,0.0068,14,3
JobSatisfaction,numeric,10.35,-0.402,0.402,,15,14
EnvironmentSatisfaction,numeric,10.34,-0.43,0.43,,16,11
DistanceFromHome,numeric,7.79,0.298,0.298,,17,17
Department,categorical,6.79,0.535,0.535,0.0045,18,7
WorkLifeBalance,numeric,6.39,-0.201,0.201,,19,20
TrainingTimesLastYear,numeric,5.95,-0.236,0.236,,20,18
DailyRate,numeric,5.67,-0.131,0.131,,21,24
RelationshipSatisfaction,numeric,4.59,-0.224,0.224,,22,19
NumCompaniesWorked,numeric,4.35,0.41,0.41,,23,13
YearsSinceLastPromotion,numeric,3.3,0.506,0.506,,24,9
Education,numeric,3.14,-0.001,0.001,,25,29
Gender,categorical,2.21,0.36,0.36,0.2906,26,15
MonthlyRate,numeric,1.52,0.056,0.056,,27,27
PercentSalaryHike,numeric,1.35,-0.122,0.122,,28,26
HourlyRate,numeric,0.68,-0.017,0.017,,29,28
