,benefit,breakeven,roi_60
count,10000.0,10000.0,10000.0
mean,373793.1261530737,298.8412103068548,4.98068683844758
std,132471.11627981364,104.91022083415568,1.7485036805692613
min,86394.19240570912,74.8378595336133,1.247297658893555
10%,218634.31816634734,175.86180902279048,2.9310301503798413
25%,274661.51732727507,220.71647426732594,3.6786079044554327
50%,354333.35779376,283.88018599000947,4.731336433166824
75%,453714.6650875007,363.2480000826449,6.054133334710748
90%,555991.2744981846,443.08145529386826,7.384690921564471
max,1108652.438620003,805.4362889417639,13.423938149029398
